Average,L1
407.000000,   407
404.000000,   404
394.000000,   394
401.000000,   401
403.000000,   403
407.000000,   407
393.000000,   393
401.000000,   401
406.000000,   406
401.000000,   401
406.000000,   406
405.000000,   405
411.000000,   411
415.000000,   415
405.000000,   405
419.000000,   419
412.000000,   412
409.000000,   409
403.000000,   403
404.000000,   404
405.000000,   405
409.000000,   409
405.000000,   405
396.000000,   396
401.000000,   401
394.000000,   394
405.000000,   405
414.000000,   414
414.000000,   414
404.000000,   404
400.000000,   400
396.000000,   396
410.000000,   410
401.000000,   401
416.000000,   416
405.000000,   405
409.000000,   409
406.000000,   406
403.000000,   403
401.000000,   401
407.000000,   407
415.000000,   415
415.000000,   415
413.000000,   413
409.000000,   409
410.000000,   410
413.000000,   413
399.000000,   399
410.000000,   410
410.000000,   410
415.000000,   415
406.000000,   406
419.000000,   419
415.000000,   415
416.000000,   416
412.000000,   412
406.000000,   406
418.000000,   418
422.000000,   422
413.000000,   413
411.000000,   411
413.000000,   413
420.000000,   420
417.000000,   417
423.000000,   423
410.000000,   410
407.000000,   407
412.000000,   412
417.000000,   417
422.000000,   422
413.000000,   413
417.000000,   417
413.000000,   413
419.000000,   419
419.000000,   419
410.000000,   410
409.000000,   409
409.000000,   409
415.000000,   415
413.000000,   413
404.000000,   404
415.000000,   415
419.000000,   419
417.000000,   417
425.000000,   425
433.000000,   433
426.000000,   426
411.000000,   411
419.000000,   419
430.000000,   430
424.000000,   424
428.000000,   428
423.000000,   423
424.000000,   424
425.000000,   425
414.000000,   414
427.000000,   427
421.000000,   421
430.000000,   430
430.000000,   430
431.000000,   431
417.000000,   417
416.000000,   416
417.000000,   417
429.000000,   429
429.000000,   429
430.000000,   430
422.000000,   422
425.000000,   425
434.000000,   434
431.000000,   431
426.000000,   426
438.000000,   438
424.000000,   424
432.000000,   432
430.000000,   430
431.000000,   431
436.000000,   436
426.000000,   426
438.000000,   438
448.000000,   448
456.000000,   456
465.000000,   465
461.000000,   461
445.000000,   445
436.000000,   436
427.000000,   427
424.000000,   424
442.000000,   442
431.000000,   431
426.000000,   426
428.000000,   428
432.000000,   432
431.000000,   431
445.000000,   445
439.000000,   439
428.000000,   428
432.000000,   432
430.000000,   430
432.000000,   432
430.000000,   430
438.000000,   438
438.000000,   438
430.000000,   430
437.000000,   437
436.000000,   436
442.000000,   442
439.000000,   439
439.000000,   439
435.000000,   435
433.000000,   433
425.000000,   425
428.000000,   428
431.000000,   431
430.000000,   430
440.000000,   440
434.000000,   434
441.000000,   441
435.000000,   435
432.000000,   432
437.000000,   437
431.000000,   431
432.000000,   432
438.000000,   438
432.000000,   432
429.000000,   429
430.000000,   430
430.000000,   430
432.000000,   432
437.000000,   437
439.000000,   439
439.000000,   439
435.000000,   435
435.000000,   435
433.000000,   433
434.000000,   434
437.000000,   437
434.000000,   434
447.000000,   447
440.000000,   440
456.000000,   456
447.000000,   447
441.000000,   441
437.000000,   437
449.000000,   449
446.000000,   446
447.000000,   447
449.000000,   449
443.000000,   443
434.000000,   434
441.000000,   441
444.000000,   444
441.000000,   441
439.000000,   439
444.000000,   444
446.000000,   446
438.000000,   438
442.000000,   442
455.000000,   455
435.000000,   435
450.000000,   450
445.000000,   445
444.000000,   444
441.000000,   441
447.000000,   447
443.000000,   443
444.000000,   444
452.000000,   452
448.000000,   448
444.000000,   444
444.000000,   444
454.000000,   454
449.000000,   449
443.000000,   443
452.000000,   452
447.000000,   447
446.000000,   446
450.000000,   450
447.000000,   447
455.000000,   455
440.000000,   440
446.000000,   446
