Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
208,6232.209,176.000000,   176
209,6215.556,172.000000,   172
210,6198.934,175.000000,   175
211,6182.341,173.000000,   173
212,6165.779,168.000000,   168
213,6149.247,179.000000,   179
214,6132.746,175.000000,   175
215,6116.274,174.000000,   174
216,6099.832,182.000000,   182
217,6083.421,174.000000,   174
218,6067.039,172.000000,   172
219,6050.687,178.000000,   178
220,6034.366,178.000000,   178
221,6018.074,167.000000,   167
222,6001.812,176.000000,   176
223,5985.580,179.000000,   179
224,5969.378,174.000000,   174
225,5953.205,179.000000,   179
226,5937.063,170.000000,   170
227,5920.950,172.000000,   172
228,5904.867,179.000000,   179
229,5888.813,173.000000,   173
230,5872.790,174.000000,   174
231,5856.796,179.000000,   179
232,5840.831,179.000000,   179
233,5824.896,179.000000,   179
234,5808.991,178.000000,   178
235,5793.115,183.000000,   183
236,5777.269,173.000000,   173
237,5761.453,172.000000,   172
238,5745.666,186.000000,   186
239,5729.908,179.000000,   179
240,5714.180,177.000000,   177
241,5698.481,171.000000,   171
242,5682.811,174.000000,   174
243,5667.171,179.000000,   179
244,5651.560,173.000000,   173
245,5635.979,168.000000,   168
246,5620.426,179.000000,   179
247,5604.903,178.000000,   178
248,5589.409,186.000000,   186
249,5573.945,177.000000,   177
250,5558.509,168.000000,   168
251,5543.103,167.000000,   167
252,5527.726,176.000000,   176
253,5512.377,171.000000,   171
254,5497.058,174.000000,   174
255,5481.768,171.000000,   171
256,5466.507,178.000000,   178
257,5451.275,174.000000,   174
258,5436.072,166.000000,   166
259,5420.898,178.000000,   178
260,5405.752,167.000000,   167
261,5390.636,171.000000,   171
262,5375.548,181.000000,   181
263,5360.489,181.000000,   181
264,5345.460,173.000000,   173
265,5330.458,175.000000,   175
266,5315.486,176.000000,   176
267,5300.542,169.000000,   169
268,5285.627,180.000000,   180
269,5270.741,176.000000,   176
270,5255.883,174.000000,   174
271,5241.054,169.000000,   169
272,5226.253,175.000000,   175
273,5211.481,181.000000,   181
274,5196.738,180.000000,   180
275,5182.023,178.000000,   178
276,5167.336,184.000000,   184
277,5152.678,180.000000,   180
278,5138.049,176.000000,   176
279,5123.447,172.000000,   172
280,5108.875,173.000000,   173
281,5094.330,171.000000,   171
282,5079.814,168.000000,   168
283,5065.326,169.000000,   169
284,5050.867,171.000000,   171
285,5036.435,179.000000,   179
286,5022.032,171.000000,   171
287,5007.657,172.000000,   172
288,4993.311,182.000000,   182
289,4978.992,166.000000,   166
290,4964.702,170.000000,   170
291,4950.439,175.000000,   175
292,4936.205,181.000000,   181
293,4921.998,168.000000,   168
294,4907.820,178.000000,   178
295,4893.670,179.000000,   179
296,4879.548,181.000000,   181
297,4865.453,176.000000,   176
298,4851.387,175.000000,   175
299,4837.348,182.000000,   182
300,4823.337,175.000000,   175
301,4809.354,176.000000,   176
302,4795.399,176.000000,   176
303,4781.472,179.000000,   179
304,4767.572,172.000000,   172
305,4753.700,181.000000,   181
306,4739.856,175.000000,   175
307,4726.040,181.000000,   181
308,4712.251,175.000000,   175
309,4698.489,178.000000,   178
310,4684.756,185.000000,   185
311,4671.050,167.000000,   167
312,4657.371,175.000000,   175
313,4643.720,178.000000,   178
314,4630.097,177.000000,   177
315,4616.500,180.000000,   180
316,4602.932,182.000000,   182
317,4589.390,176.000000,   176
318,4575.877,177.000000,   177
319,4562.390,174.000000,   174
320,4548.931,167.000000,   167
321,4535.499,179.000000,   179
322,4522.094,167.000000,   167
323,4508.717,178.000000,   178
324,4495.367,174.000000,   174
325,4482.044,173.000000,   173
326,4468.748,165.000000,   165
327,4455.480,173.000000,   173
328,4442.238,177.000000,   177
329,4429.024,168.000000,   168
330,4415.836,173.000000,   173
331,4402.676,170.000000,   170
332,4389.543,174.000000,   174
333,4376.437,184.000000,   184
334,4363.357,176.000000,   176
335,4350.305,179.000000,   179
336,4337.279,172.000000,   172
337,4324.281,176.000000,   176
338,4311.309,166.000000,   166
339,4298.364,174.000000,   174
340,4285.446,177.000000,   177
341,4272.555,170.000000,   170
342,4259.690,170.000000,   170
343,4246.853,170.000000,   170
344,4234.041,165.000000,   165
345,4221.257,172.000000,   172
346,4208.499,166.000000,   166
347,4195.768,168.000000,   168
348,4183.064,170.000000,   170
349,4170.386,172.000000,   172
350,4157.734,175.000000,   175
351,4145.109,173.000000,   173
352,4132.511,177.000000,   177
353,4119.939,176.000000,   176
354,4107.393,171.000000,   171
355,4094.874,169.000000,   169
356,4082.382,183.000000,   183
357,4069.915,178.000000,   178
