Pixel No,Average,L1
266,1610.000000,  1610
267,1607.000000,  1607
268,1621.000000,  1621
269,1615.000000,  1615
270,1614.000000,  1614
271,1620.000000,  1620
272,1638.000000,  1638
273,1642.000000,  1642
274,1664.000000,  1664
275,1629.000000,  1629
276,1653.000000,  1653
277,1658.000000,  1658
278,1636.000000,  1636
279,1658.000000,  1658
280,1656.000000,  1656
281,1653.000000,  1653
282,1668.000000,  1668
283,1676.000000,  1676
284,1680.000000,  1680
285,1705.000000,  1705
286,1700.000000,  1700
287,1691.000000,  1691
288,1694.000000,  1694
289,1705.000000,  1705
290,1701.000000,  1701
291,1724.000000,  1724
292,1720.000000,  1720
293,1724.000000,  1724
294,1721.000000,  1721
295,1737.000000,  1737
296,1746.000000,  1746
297,1742.000000,  1742
298,1747.000000,  1747
299,1756.000000,  1756
300,1763.000000,  1763
301,1782.000000,  1782
302,1784.000000,  1784
303,1792.000000,  1792
304,1767.000000,  1767
305,1778.000000,  1778
306,1766.000000,  1766
307,1761.000000,  1761
308,1787.000000,  1787
309,1777.000000,  1777
310,1803.000000,  1803
311,1802.000000,  1802
312,1819.000000,  1819
313,1810.000000,  1810
314,1804.000000,  1804
315,1808.000000,  1808
316,1785.000000,  1785
317,1802.000000,  1802
318,1803.000000,  1803
319,1836.000000,  1836
320,1818.000000,  1818
321,1810.000000,  1810
322,1824.000000,  1824
323,1812.000000,  1812
324,1830.000000,  1830
325,1847.000000,  1847
326,1816.000000,  1816
327,1818.000000,  1818
328,1815.000000,  1815
329,1861.000000,  1861
330,1821.000000,  1821
331,1836.000000,  1836
332,1828.000000,  1828
333,1852.000000,  1852
334,1844.000000,  1844
335,1843.000000,  1843
336,1842.000000,  1842
337,1848.000000,  1848
338,1867.000000,  1867
339,1851.000000,  1851
340,1855.000000,  1855
341,1852.000000,  1852
342,1851.000000,  1851
343,1874.000000,  1874
344,1855.000000,  1855
345,1851.000000,  1851
346,1878.000000,  1878
347,1878.000000,  1878
348,1872.000000,  1872
349,1884.000000,  1884
350,1879.000000,  1879
351,1894.000000,  1894
352,1889.000000,  1889
353,1903.000000,  1903
354,1896.000000,  1896
355,1898.000000,  1898
356,1924.000000,  1924
357,1914.000000,  1914
358,1910.000000,  1910
359,1911.000000,  1911
360,1922.000000,  1922
361,1923.000000,  1923
362,1932.000000,  1932
363,1928.000000,  1928
364,1956.000000,  1956
365,1961.000000,  1961
366,1942.000000,  1942
367,1949.000000,  1949
368,1941.000000,  1941
369,1957.000000,  1957
370,1958.000000,  1958
371,1961.000000,  1961
372,1983.000000,  1983
373,1985.000000,  1985
374,1983.000000,  1983
375,1991.000000,  1991
376,1999.000000,  1999
377,1999.000000,  1999
378,1994.000000,  1994
379,2007.000000,  2007
380,2015.000000,  2015
381,2036.000000,  2036
382,2024.000000,  2024
383,2020.000000,  2020
384,2035.000000,  2035
385,2041.000000,  2041
386,2043.000000,  2043
387,2029.000000,  2029
388,2029.000000,  2029
389,2051.000000,  2051
390,2054.000000,  2054
391,2061.000000,  2061
392,2045.000000,  2045
393,2048.000000,  2048
394,2064.000000,  2064
395,2086.000000,  2086
396,2061.000000,  2061
397,2089.000000,  2089
398,2089.000000,  2089
399,2076.000000,  2076
400,2075.000000,  2075
401,2099.000000,  2099
402,2083.000000,  2083
403,2075.000000,  2075
404,2085.000000,  2085
405,2098.000000,  2098
406,2091.000000,  2091
407,2089.000000,  2089
408,2102.000000,  2102
409,2094.000000,  2094
410,2125.000000,  2125
411,2109.000000,  2109
412,2112.000000,  2112
413,2104.000000,  2104
414,2106.000000,  2106
415,2136.000000,  2136
416,2155.000000,  2155
417,2148.000000,  2148
418,2140.000000,  2140
419,2143.000000,  2143
420,2147.000000,  2147
421,2155.000000,  2155
422,2156.000000,  2156
423,2109.000000,  2109
424,2147.000000,  2147
425,2139.000000,  2139
426,2178.000000,  2178
427,2164.000000,  2164
428,2190.000000,  2190
429,2194.000000,  2194
430,2199.000000,  2199
431,2203.000000,  2203
432,2201.000000,  2201
433,2202.000000,  2202
434,2193.000000,  2193
435,2214.000000,  2214
436,2204.000000,  2204
437,2219.000000,  2219
438,2219.000000,  2219
439,2214.000000,  2214
440,2224.000000,  2224
441,2213.000000,  2213
442,2229.000000,  2229
443,2238.000000,  2238
444,2227.000000,  2227
445,2251.000000,  2251
446,2252.000000,  2252
447,2258.000000,  2258
448,2280.000000,  2280
449,2290.000000,  2290
450,2279.000000,  2279
451,2275.000000,  2275
452,2291.000000,  2291
453,2274.000000,  2274
454,2309.000000,  2309
455,2304.000000,  2304
456,2290.000000,  2290
457,2315.000000,  2315
458,2315.000000,  2315
459,2310.000000,  2310
460,2332.000000,  2332
461,2343.000000,  2343
462,2318.000000,  2318
463,2327.000000,  2327
464,2340.000000,  2340
465,2337.000000,  2337
466,2350.000000,  2350
467,2360.000000,  2360
468,2370.000000,  2370
469,2372.000000,  2372
470,2383.000000,  2383
471,2359.000000,  2359
472,2386.000000,  2386
473,2415.000000,  2415
