Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
212,24375.894,705.000000,   705
213,24709.723,702.000000,   702
214,25046.591,702.000000,   702
215,25386.513,710.000000,   710
216,25729.501,707.000000,   707
217,26075.570,713.000000,   713
218,26424.734,707.000000,   707
219,26777.006,693.000000,   693
220,27132.400,696.000000,   696
221,27490.930,696.000000,   696
222,27852.610,706.000000,   706
223,28217.454,722.000000,   722
224,28585.475,702.000000,   702
225,28956.687,706.000000,   706
226,29331.105,708.000000,   708
227,29708.741,716.000000,   716
228,30089.610,701.000000,   701
229,30473.725,707.000000,   707
230,30861.100,705.000000,   705
231,31251.749,706.000000,   706
232,31645.686,687.000000,   687
233,32042.925,700.000000,   700
234,32443.479,683.000000,   683
235,32847.363,698.000000,   698
236,33254.589,703.000000,   703
237,33665.172,707.000000,   707
238,34079.126,708.000000,   708
239,34496.464,691.000000,   691
240,34917.200,708.000000,   708
241,35341.348,699.000000,   699
242,35768.922,700.000000,   700
243,36199.936,718.000000,   718
244,36634.403,708.000000,   708
245,37072.338,701.000000,   701
246,37513.753,701.000000,   701
247,37958.663,710.000000,   710
248,38407.082,707.000000,   707
249,38859.023,701.000000,   701
250,39314.500,699.000000,   699
251,39773.527,696.000000,   696
252,40236.118,711.000000,   711
253,40702.287,701.000000,   701
254,41172.047,683.000000,   683
255,41645.412,697.000000,   697
256,42122.397,706.000000,   706
257,42603.014,698.000000,   698
258,43087.278,704.000000,   704
259,43575.202,699.000000,   699
260,44066.800,704.000000,   704
261,44562.086,711.000000,   711
262,45061.074,707.000000,   707
263,45563.778,708.000000,   708
264,46070.211,718.000000,   718
265,46580.388,711.000000,   711
266,47094.321,696.000000,   696
267,47612.025,702.000000,   702
268,48133.514,699.000000,   699
269,48658.801,705.000000,   705
270,49187.900,701.000000,   701
271,49720.825,703.000000,   703
272,50257.590,703.000000,   703
273,50798.209,710.000000,   710
274,51342.695,708.000000,   708
275,51891.063,705.000000,   705
276,52443.325,711.000000,   711
277,52999.496,716.000000,   716
278,53559.590,716.000000,   716
279,54123.620,687.000000,   687
280,54691.600,706.000000,   706
281,55263.544,721.000000,   721
282,55839.466,702.000000,   702
283,56419.380,705.000000,   705
284,57003.299,705.000000,   705
285,57591.237,709.000000,   709
286,58183.209,712.000000,   712
287,58779.227,720.000000,   720
288,59379.306,709.000000,   709
289,59983.459,712.000000,   712
290,60591.700,701.000000,   701
291,61204.043,706.000000,   706
292,61820.502,704.000000,   704
293,62441.091,691.000000,   691
294,63065.823,718.000000,   718
295,63694.713,709.000000,   709
296,64327.773,714.000000,   714
297,64965.018,699.000000,   699
298,65606.462,705.000000,   705
299,66252.118,707.000000,   707
300,66902.000,710.000000,   710
301,67556.122,708.000000,   708
302,68214.498,708.000000,   708
303,68877.142,704.000000,   704
304,69544.067,699.000000,   699
