Line Count:	2
	
L1	L2
0	0
0	0
0	0
18	18
332	332
418	418
456	456
469	469
474	474
473	473
490	490
482	482
487	487
499	499
479	479
466	466
497	497
499	499
478	478
482	482
496	496
499	499
507	507
488	488
504	504
489	489
494	494
494	494
497	497
503	503
512	512
508	508
504	504
516	516
502	502
496	496
488	488
509	509
524	524
504	504
507	507
496	496
500	500
507	507
514	514
502	502
506	506
499	499
516	516
500	500
502	502
508	508
494	494
488	488
492	492
496	496
506	506
498	498
502	502
499	499
501	501
543	543
513	513
504	504
502	502
502	502
517	517
501	501
495	495
500	500
499	499
499	499
480	480
505	505
501	501
515	515
509	509
518	518
503	503
516	516
496	496
490	490
494	494
491	491
507	507
507	507
496	496
494	494
489	489
501	501
518	518
498	498
511	511
500	500
492	492
479	479
499	499
490	490
488	488
499	499
493	493
506	506
510	510
511	511
504	504
503	503
498	498
502	502
507	507
504	504
505	505
494	494
503	503
498	498
513	513
491	491
513	513
497	497
511	511
507	507
488	488
508	508
502	502
524	524
498	498
507	507
514	514
503	503
494	494
504	504
505	505
512	512
511	511
520	520
506	506
510	510
495	495
491	491
506	506
508	508
528	528
485	485
510	510
510	510
517	517
507	507
519	519
508	508
494	494
499	499
512	512
515	515
506	506
517	517
502	502
508	508
485	485
493	493
504	504
501	501
492	492
497	497
509	509
500	500
502	502
507	507
514	514
499	499
515	515
507	507
498	498
504	504
506	506
507	507
512	512
513	513
504	504
482	482
487	487
509	509
495	495
496	496
490	490
504	504
488	488
509	509
504	504
508	508
493	493
511	511
512	512
505	505
495	495
499	499
501	501
505	505
518	518
505	505
511	511
503	503
492	492
502	502
503	503
489	489
499	499
500	500
496	496
506	506
502	502
500	500
494	494
513	513
498	498
504	504
515	515
490	490
525	525
521	521
495	495
505	505
511	511
503	503
511	511
505	505
499	499
495	495
491	491
495	495
512	512
502	502
496	496
512	512
509	509
507	507
507	507
496	496
508	508
503	503
505	505
504	504
498	498
508	508
510	510
488	488
502	502
511	511
507	507
492	492
490	490
502	502
513	513
507	507
506	506
500	500
488	488
499	499
506	506
499	499
493	493
490	490
503	503
499	499
502	502
495	495
512	512
495	495
505	505
511	511
502	502
482	482
507	507
490	490
499	499
506	506
541	541
513	513
508	508
483	483
503	503
492	492
494	494
497	497
509	509
514	514
496	496
507	507
498	498
494	494
512	512
507	507
508	508
505	505
495	495
507	507
514	514
531	531
520	520
509	509
508	508
505	505
513	513
505	505
505	505
503	503
486	486
492	492
494	494
486	486
485	485
507	507
484	484
499	499
500	500
498	498
491	491
506	506
499	499
507	507
509	509
510	510
489	489
515	515
498	498
509	509
505	505
504	504
509	509
505	505
510	510
493	493
500	500
495	495
496	496
